bloc,country,papers
BRICS+,Brazil,3
BRICS+,Russia,1
BRICS+,India,38
BRICS+,China,1162
BRICS+,South Africa,0
BRICS+,Egypt,1
BRICS+,Ethiopia,14
BRICS+,Iran,6
BRICS+,UAE,10
BRICS+,Indonesia,2
BRICS+,Saudi Arabia,7
BRICS+,Nigeria,0
BRICS+,Turkey,1
BRICS+,Malaysia,2
BRICS+,Thailand,1
BRICS+,Vietnam,6
BRICS+,Cuba,0
BRICS+,Uganda,0
BRICS+,Belarus,0
BRICS+,Bolivia,0
West,Austria,11
West,Belgium,15
West,Bulgaria,0
West,Croatia,0
West,Cyprus,1
West,Czech Republic,11
West,Denmark,17
West,Estonia,5
West,Finland,18
West,France,83
West,Germany,148
West,Greece,18
West,Hungary,0
West,Ireland,6
West,Italy,39
West,Latvia,0
West,Lithuania,0
West,Luxembourg,6
West,Malta,0
West,Netherlands,24
West,Poland,1
West,Portugal,3
West,Romania,1
West,Slovakia,2
West,Slovenia,3
West,Spain,32
West,Sweden,20
West,USA,333
West,UK,142
West,Canada,86
West,Australia,59
West,New Zealand,1
West,Japan,113
West,South Korea,91
West,Israel,54
West,Norway,5
West,Switzerland,23
West,Iceland,0
West,Ukraine,1
West,Singapore,65
West,Georgia,26
West,Moldova,10
